section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
12,DaatChacham_Vat214_Marginalia,KeterShemTov,0.0832,-1.463,,66,-0.735,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
8,KeterShemTov,Likutim_bhml_1978,0.1099,-0.102,-0.749,36,-0.749,36,direct_pair_valid,
8,KeterShemTovMS_L,Likutim_bhml_1978,0.1099,-0.102,-0.749,36,-0.749,36,direct_pair_valid,
30,DaatChacham_Vat214_Main,UnKnownEskorial,0.1682,2.356,,36,-0.750,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_1,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.1991,4.737,-0.750,45,-0.750,45,direct_pair_valid,
6,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.0557,-2.635,-0.751,78,-0.751,78,direct_pair_valid,
23,Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.0940,-0.102,,28,-0.759,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26_1,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.1324,1.544,-0.761,28,-0.761,28,direct_pair_valid,
19_1,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.1636,2.356,-0.763,28,-0.763,28,direct_pair_valid,
25,Comment_a_shuib_Parma_68,MeiratEinayim,0.0687,-2.187,-0.764,28,-0.764,28,direct_pair_valid,
11,KeterShemTov,Rabenu_Bahayii,0.1646,2.356,-0.765,45,-0.765,45,direct_pair_valid,
2,KeterShemTovMS_L,MeiratEinayim,0.1750,2.356,-0.767,15,-0.767,15,direct_pair_valid,
23,Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.0913,-0.102,,28,-0.776,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
15,KeterShemTovMS_L,SaportaOxford1645,0.1776,2.356,-0.777,36,-0.777,36,direct_pair_valid,
